ProductKey,ProductSubcategoryKey,ProductSKU,ProductName,ModelName,ProductColor,ProductStyle,Sum of ProductCost,Sum of ProductPrice,Sum of DiscountPrice,SKU Category,Price Point,ProductDescription
214,31,HL-U509-R,"Sport-100 Helmet, Red",Sport-100,Red,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
215,31,HL-U509,"Sport-100 Helmet, Black",Sport-100,Black,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
218,23,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,White,U,,,,SO,Low,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
219,23,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,White,U,,,,SO,Low,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
220,31,HL-U509-B,"Sport-100 Helmet, Blue",Sport-100,Blue,,,,,HL,Low,"Universal fit, well-vented, lightweight , snap-on visor."
223,19,CA-1098,AWC Logo Cap,Cycling Cap,Multi,U,,,,CA,Low,Traditional style with a flip-up brim; one-size fits all.
226,21,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
229,21,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
232,21,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
235,21,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Long-Sleeve Logo Jersey,Multi,U,,,,LJ,Low,Unisex long-sleeve AWC logo microfiber cycling jersey
238,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Red,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
262,14,FR-R38R-44,"LL Road Frame - Red, 44",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
264,14,FR-R38R-48,"LL Road Frame - Red, 48",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
266,14,FR-R38R-52,"LL Road Frame - Red, 52",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
268,14,FR-R38R-58,"LL Road Frame - Red, 58",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
270,14,FR-R38R-60,"LL Road Frame - Red, 60",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
272,14,FR-R38R-62,"LL Road Frame - Red, 62",LL Road Frame,Red,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
274,14,FR-R72R-44,"ML Road Frame - Red, 44",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
275,14,FR-R72R-48,"ML Road Frame - Red, 48",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
276,14,FR-R72R-52,"ML Road Frame - Red, 52",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
277,14,FR-R72R-58,"ML Road Frame - Red, 58",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
278,14,FR-R72R-60,"ML Road Frame - Red, 60",ML Road Frame,Red,U,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
279,14,FR-R38B-44,"LL Road Frame - Black, 44",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
282,14,FR-R38B-48,"LL Road Frame - Black, 48",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
285,14,FR-R38B-52,"LL Road Frame - Black, 52",LL Road Frame,Black,U,,,,FR,Milieu de gamme,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
288,12,FR-M94S-42,"HL Mountain Frame - Silver, 42",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
291,12,FR-M94S-44,"HL Mountain Frame - Silver, 44",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
292,12,FR-M94S-52,"HL Mountain Frame - Silver, 48",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
293,12,FR-M94S-46,"HL Mountain Frame - Silver, 46",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
296,12,FR-M94B-42,"HL Mountain Frame - Black, 42",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
299,12,FR-M94B-44,"HL Mountain Frame - Black, 44",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
300,12,FR-M94B-48,"HL Mountain Frame - Black, 48",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
301,12,FR-M94B-46,"HL Mountain Frame - Black, 46",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
304,12,FR-M94B-38,"HL Mountain Frame - Black, 38",HL Mountain Frame,Black,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
307,12,FR-M94S-38,"HL Mountain Frame - Silver, 38",HL Mountain Frame,Silver,U,,,,FR,High,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
310,2,BK-R93R-62,"Road-150 Red, 62",Road-150,Red,U,,,,BK,High,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
311,2,BK-R93R-44,"Road-150 Red, 44",Road-150,Red,U,,,,BK,High,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
312,2,BK-R93R-48,"Road-150 Red, 48",Road-150,Red,U,,,,BK,High,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
313,2,BK-R93R-52,"Road-150 Red, 52",Road-150,Red,U,,,,BK,High,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
314,2,BK-R93R-56,"Road-150 Red, 56",Road-150,Red,U,,,,BK,High,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
315,2,BK-R68R-58,"Road-450 Red, 58",Road-450,Red,U,,,,BK,High,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
316,2,BK-R68R-60,"Road-450 Red, 60",Road-450,Red,U,,,,BK,High,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
317,2,BK-R68R-44,"Road-450 Red, 44",Road-450,Red,U,,,,BK,High,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
318,2,BK-R68R-48,"Road-450 Red, 48",Road-450,Red,U,,,,BK,High,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
319,2,BK-R68R-52,"Road-450 Red, 52",Road-450,Red,U,,,,BK,High,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
320,2,BK-R50R-58,"Road-650 Red, 58",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
322,2,BK-R50R-60,"Road-650 Red, 60",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
324,2,BK-R50R-62,"Road-650 Red, 62",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
326,2,BK-R50R-44,"Road-650 Red, 44",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
328,2,BK-R50R-48,"Road-650 Red, 48",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
330,2,BK-R50R-52,"Road-650 Red, 52",Road-650,Red,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
332,2,BK-R50B-58,"Road-650 Black, 58",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
334,2,BK-R50B-60,"Road-650 Black, 60",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
336,2,BK-R50B-62,"Road-650 Black, 62",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
338,2,BK-R50B-44,"Road-650 Black, 44",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
340,2,BK-R50B-48,"Road-650 Black, 48",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
342,2,BK-R50B-52,"Road-650 Black, 52",Road-650,Black,U,,,,BK,High,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
344,1,BK-M82S-38,"Mountain-100 Silver, 38",Mountain-100,Silver,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
345,1,BK-M82S-42,"Mountain-100 Silver, 42",Mountain-100,Silver,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
346,1,BK-M82S-44,"Mountain-100 Silver, 44",Mountain-100,Silver,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
347,1,BK-M82S-48,"Mountain-100 Silver, 48",Mountain-100,Silver,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
348,1,BK-M82B-38,"Mountain-100 Black, 38",Mountain-100,Black,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
349,1,BK-M82B-42,"Mountain-100 Black, 42",Mountain-100,Black,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
350,1,BK-M82B-44,"Mountain-100 Black, 44",Mountain-100,Black,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
351,1,BK-M82B-48,"Mountain-100 Black, 48",Mountain-100,Black,U,,,,BK,High,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
352,1,BK-M68S-38,"Mountain-200 Silver, 38",Mountain-200,Silver,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
354,1,BK-M68S-42,"Mountain-200 Silver, 42",Mountain-200,Silver,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
356,1,BK-M68S-46,"Mountain-200 Silver, 46",Mountain-200,Silver,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
358,1,BK-M68B-38,"Mountain-200 Black, 38",Mountain-200,Black,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
360,1,BK-M68B-42,"Mountain-200 Black, 42",Mountain-200,Black,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
362,1,BK-M68B-46,"Mountain-200 Black, 46",Mountain-200,Black,U,,,,BK,High,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
364,1,BK-M47B-38,"Mountain-300 Black, 38",Mountain-300,Black,U,,,,BK,High,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
365,1,BK-M47B-40,"Mountain-300 Black, 40",Mountain-300,Black,U,,,,BK,High,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
366,1,BK-M47B-44,"Mountain-300 Black, 44",Mountain-300,Black,U,,,,BK,High,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
367,1,BK-M47B-48,"Mountain-300 Black, 48",Mountain-300,Black,U,,,,BK,High,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
368,2,BK-R89R-44,"Road-250 Red, 44",Road-250,Red,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
369,2,BK-R89R-48,"Road-250 Red, 48",Road-250,Red,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
370,2,BK-R89R-52,"Road-250 Red, 52",Road-250,Red,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
371,2,BK-R89R-58,"Road-250 Red, 58",Road-250,Red,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
373,2,BK-R89B-44,"Road-250 Black, 44",Road-250,Black,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
375,2,BK-R89B-48,"Road-250 Black, 48",Road-250,Black,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
377,2,BK-R89B-52,"Road-250 Black, 52",Road-250,Black,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
379,2,BK-R89B-58,"Road-250 Black, 58",Road-250,Black,U,,,,BK,High,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
381,2,BK-R64Y-38,"Road-550-W Yellow, 38",Road-550-W,Yellow,W,,,,BK,High,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
383,2,BK-R64Y-40,"Road-550-W Yellow, 40",Road-550-W,Yellow,W,,,,BK,High,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
385,2,BK-R64Y-42,"Road-550-W Yellow, 42",Road-550-W,Yellow,W,,,,BK,High,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
387,2,BK-R64Y-44,"Road-550-W Yellow, 44",Road-550-W,Yellow,W,,,,BK,High,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
389,2,BK-R64Y-48,"Road-550-W Yellow, 48",Road-550-W,Yellow,W,,,,BK,High,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
391,10,FK-1639,LL Fork,LL Fork,,,,,,FK,Milieu de gamme,Stout design absorbs shock and offers more precise steering.
392,10,FK-5136,ML Fork,ML Fork,,,,,,FK,Milieu de gamme,Composite road fork with an aluminum steerer tube.
393,10,FK-9939,HL Fork,HL Fork,,,,,,FK,Milieu de gamme,High-performance carbon road fork with curved legs.
394,11,HS-0296,LL Headset,LL Headset,,,,,,HS,Low,Threadless headset provides quality at an economical price.
395,11,HS-2451,ML Headset,ML Headset,,,,,,HS,Milieu de gamme,Sealed cartridge keeps dirt out.
396,11,HS-3479,HL Headset,HL Headset,,,,,,HS,Milieu de gamme,"High-quality 1"" threadless headset with a grease port for quick lubrication."
397,4,HB-M243,LL Mountain Handlebars,LL Mountain Handlebars,,,,,,HB,Low,All-purpose bar for on or off-road.
399,4,HB-M763,ML Mountain Handlebars,ML Mountain Handlebars,,,,,,HB,Low,Tough aluminum alloy bars for downhill.
401,4,HB-M918,HL Mountain Handlebars,HL Mountain Handlebars,,,,,,HB,Milieu de gamme,Flat bar strong enough for the pro circuit.
403,4,HB-R504,LL Road Handlebars,LL Road Handlebars,,,,,,HB,Low,Unique shape provides easier reach to the levers.
405,4,HB-R720,ML Road Handlebars,ML Road Handlebars,,,,,,HB,Low,Anatomically shaped aluminum tube bar will suit all riders.
407,4,HB-R956,HL Road Handlebars,HL Road Handlebars,,,,,,HB,Milieu de gamme,Designed for racers; high-end anatomically shaped bar from aluminum alloy.
409,12,FR-M63B-38,"ML Mountain Frame - Black, 38",ML Mountain Frame-W,Black,U,,,,FR,Milieu de gamme,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
410,17,FW-M423,LL Mountain Front Wheel,LL Mountain Front Wheel,Black,,,,,FW,Low,Replacement mountain wheel for entry-level rider.
411,17,FW-M762,ML Mountain Front Wheel,ML Mountain Front Wheel,Black,,,,,FW,Milieu de gamme,Replacement mountain wheel for the casual to serious rider.
412,17,FW-M928,HL Mountain Front Wheel,HL Mountain Front Wheel,Black,,,,,FW,Milieu de gamme,High-performance mountain replacement wheel.
413,17,FW-R623,LL Road Front Wheel,LL Road Front Wheel,Black,,,,,FW,Low,Replacement road front wheel for entry-level cyclist.
414,17,FW-R762,ML Road Front Wheel,ML Road Front Wheel,Black,,,,,FW,Milieu de gamme,Sturdy alloy features a quick-release hub.
415,17,FW-R820,HL Road Front Wheel,HL Road Front Wheel,Black,,,,,FW,Milieu de gamme,Strong wheel with double-walled rim.
416,17,FW-T905,Touring Front Wheel,Touring Front Wheel,Black,,,,,FW,Milieu de gamme,Aerodynamic rims for smooth riding.
417,14,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",ML Road Frame-W,Yellow,W,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
419,17,RW-M423,LL Mountain Rear Wheel,LL Mountain Rear Wheel,Black,,,,,RW,Low,Replacement mountain wheel for entry-level rider.
420,17,RW-M762,ML Mountain Rear Wheel,ML Mountain Rear Wheel,Black,,,,,RW,Milieu de gamme,Replacement mountain wheel for the casual to serious rider.
421,17,RW-M928,HL Mountain Rear Wheel,HL Mountain Rear Wheel,Black,,,,,RW,Milieu de gamme,High-performance mountain replacement wheel.
422,17,RW-R623,LL Road Rear Wheel,LL Road Rear Wheel,Black,,,,,RW,Milieu de gamme,Replacement road rear wheel for entry-level cyclist.
423,17,RW-R762,ML Road Rear Wheel,ML Road Rear Wheel,Black,,,,,RW,Milieu de gamme,Aluminum alloy rim with stainless steel spokes; built for speed.
424,17,RW-R820,HL Road Rear Wheel,HL Road Rear Wheel,Black,,,,,RW,Milieu de gamme,Strong rear wheel with double-walled rim.
425,17,RW-T905,Touring Rear Wheel,Touring Rear Wheel,Black,,,,,RW,Milieu de gamme,Excellent aerodynamic rims guarantee a smooth ride.
426,12,FR-M63B-40,"ML Mountain Frame - Black, 40",ML Mountain Frame,Black,U,,,,FR,Milieu de gamme,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
427,12,FR-M63B-44,"ML Mountain Frame - Black, 44",ML Mountain Frame,Black,U,,,,FR,Milieu de gamme,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
428,12,FR-M63B-48,"ML Mountain Frame - Black, 48",ML Mountain Frame,Black,U,,,,FR,Milieu de gamme,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
429,14,FR-R72Y-40,"ML Road Frame-W - Yellow, 40",ML Road Frame-W,Yellow,W,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
431,14,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",ML Road Frame-W,Yellow,W,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
433,14,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",ML Road Frame-W,Yellow,W,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
435,14,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",ML Road Frame-W,Yellow,W,,,,FR,High,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
437,14,FR-R92B-62,"HL Road Frame - Black, 62",HL Road Frame,Black,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
439,14,FR-R92B-44,"HL Road Frame - Black, 44",HL Road Frame,Black,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
441,14,FR-R92B-48,"HL Road Frame - Black, 48",HL Road Frame,Black,U,,,,FR,High,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
